AAPL,Apple Inc. Common Stock,$172.19,0.02,0.012%,2985316574600.00,United States,1980,106651766,Technology,Computer Manufacturing
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$86.04,-2.21,-2.504%,2497594158.00,United States,,1123114,Transportation,Transportation Services
ABNB,Airbnb Inc. Class A Common Stock,$160.71,-5.34,-3.216%,95847284415.00,United States,2020,6969492,Transportation,Other Consumer Services
ACMR,ACM Research Inc. Class A Common Stock,$82.73,0.73,0.89%,1613884017.00,United States,2017,173017,Technology,Industrial Machinery/Components
ADBE,Adobe Inc. Common Stock,$525.83,15.13,2.963%,250189914000.00,United States,1986,5427578,Technology,Computer Software: Prepackaged Software
ADSK,Autodesk Inc. Common Stock,$262.39,0.07,0.027%,57718824887.00,United States,,1637500,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,$3229.72,-21.36,-0.657%,1637944811266.00,United States,1997,4384844,Consumer Services,Catalog/Specialty Distribution
CAKE,Cheesecake Factory Incorporated (The) Common Stock,$38.58,-0.35,-0.899%,2012695066.00,United States,1992,1211258,Consumer Services,Restaurants
MRNA,Moderna Inc. Common Stock,$233.70,19.84,9.277%,94753554460.00,United States,2018,17180521,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NFLX,Netflix Inc. Common Stock,$539.85,-1.21,-0.224%,239127741931.00,United States,2002,4483290,Consumer Services,Movies/Entertainment
ORLY,O'Reilly Automotive Inc. Common Stock,$675.08,-7.17,-1.051%,45485807572.00,United States,1993,456710,Consumer Services,Other Specialty Stores
ZM,Zoom Video Communications Inc. Class A Common Stock,$172.56,0.96,0.559%,51421942654.00,United States,2019,3493744,Technology,Computer Software: Prepackaged Software
